Symbol,Name,Sector,Industry,Market Cap,Close,Open,Volume,Fluctuation Rate
MSFT,Microsoft,Information Technology,Systems Software,3002343620608,404.05999755859375,407.9599914550781,22281100.0,-0.9559746000028575
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2815212650496,182.30999755859375,183.4199981689453,49701400.0,-0.6051688046191988
NVDA,Nvidia,Information Technology,Semiconductors,1793541144576,726.1300048828125,741.0,49391800.0,-2.0067469793775303
AMZN,Amazon,Consumer Discretionary,Broadline Retail,1760768032768,169.50999450683594,168.74000549316406,48074600.0,0.45631681202183466
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1754293862400,140.52000427246094,142.99000549316406,31451100.0,-1.7273943113605996
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1753911394304,141.75999450683594,144.2100067138672,21849700.0,-1.6989196955606671
META,Meta Platforms,Communication Services,Interactive Media & Services,1206686842880,473.32000732421875,478.1099853515625,23306500.0,-1.001856931271075
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,742415007744,782.0599975585938,771.030029296875,5000700.0,1.430549763642449
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,636798763008,199.9499969482422,202.05999755859375,111173600.0,-1.0442445985577629
AVGO,Broadcom Inc.,Information Technology,Semiconductors,583060226048,1245.47998046875,1259.0400390625,2126300.0,-1.0770156764710217
V,Visa Inc.,Financials,Transaction & Payment Processing Services,572181708800,278.55999755859375,280.9599914550781,6630100.0,-0.8542119766073892
JPM,JPMorgan Chase,Financials,Diversified Banks,515015573504,179.02999877929688,179.61000061035156,8148100.0,-0.3229229046733047
UNH,UnitedHealth Group,Health Care,Managed Health Care,482394603520,521.5499877929688,522.2999877929688,2135500.0,-0.1435956380487774
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,458648289280,170.36000061035156,170.2899932861328,7452900.0,0.04111065064235392
MA,Mastercard,Financials,Transaction & Payment Processing Services,436714766336,468.1300048828125,474.1700134277344,2237200.0,-1.2738065195770543
XOM,ExxonMobil,Energy,Integrated Oil & Gas,411911847936,103.7300033569336,104.01000213623047,20146700.0,-0.2692037049765056
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,377092964352,156.5500030517578,156.60000610351562,8540700.0,-0.031930427719625704
PG,Procter & Gamble,Consumer Staples,Personal Care Products,370624167936,157.50999450683594,157.0399932861328,6617600.0,0.29928759602451394
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,360633204736,362.3500061035156,360.67999267578125,3899100.0,0.4630180386067509
MRK,Merck & Co.,Health Care,Pharmaceuticals,323822419968,127.79000091552734,126.5,6266500.0,1.019763569586833
